Employer Name,City,County,State,Workers,WIA
Arkansas PROMISE,Statewide,,Arkansas,85,
Cantrell Drug Company,North Little Rock,Pulaski,Arkansas,85,Central
Toys R Us  (North Little Rock Store),Little Rock,Pulaski,Arkansas,25,Central
DynCorp International,Jacksonville,Pulaski,Arkansas,128,Central
AGE Industries - Conway,Conway,Faulkner,Arkansas,20,Central
Kmart  (Cabot Store),Cabot,Lonoke,Arkansas,25,Central
Dixie Cafe - Lakewood Village,North Little Rock,Pulaski,Arkansas,30,Central
,,,,313,Central Total
St. Francis Area Developmental Center,Forrest City,St Francis,Arkansas,16,Eastern
J.R. Simplot Company,West Memphis,Crittenden,Arkansas,85,Eastern
Crowley's Ridge Technical Institute,Forrest City,St Francis,Arkansas,39,Eastern
,,,,140,Eastern Total
Bennett's Military Supplies,Little Rock,Pulaski,Arkansas,1,Little Rock
Toys R Us  (Little Rock Store),Little Rock,Pulaski,Arkansas,18,Little Rock
ITW Global Tire Repair,Little Rock,Pulaski,Arkansas,28,Little Rock
Babies R Us,Little Rock,Pulaski,Arkansas,26,Little Rock
Windstream,Little Rock,Pulaski,Arkansas,43,Little Rock
UAMS,Little Rock,Pulaski,Arkansas,258,Little Rock
Charming Charlie_Little Rock,Little Rock,Pulaski,Arkansas,12,Little Rock
Dixie Cafe - Rodney Parham,Little Rock,Pulaski,Arkansas,30,Little Rock
Dixie Cafe - Rebsamen Park Rd,Little Rock,Pulaski,Arkansas,30,Little Rock
American Red Cross Blood Donation Center - Little Rock Center,Little Rock,Pulaski,Arkansas,15,Little Rock
Soundscapes,Little Rock,Pulaski,Arkansas,7,Little Rock
Arkansas Democrat Gazette,Little Rock,Pulaski,Arkansas,25,Little Rock
Savers,North Little Rock,Pulaski,Arkansas,110,Little Rock
Northrop Grumman Systems Corporation,Little Rock,Pulaski,Arkansas,100,Little Rock
Walmart Neighborhood Market,Little Rock,Pulaski,Arkansas,107,Little Rock
,,,,810,Little Rock Total
Walmart,Corning,Clay,Arkansas,66,Northeast
Twin Rivers Regional Medical Center,Kennett,Dunklin,Missouri,63,Northeast
"Regal Beloit America, Inc.",Blytheville,Mississippi,Arkansas,32,Northeast
Arkansas Early Learning Inc.,Jonesboro,Craighead,Arkansas,111,Northeast
Food Giant,Osceola,Mississippi,Arkansas,50,Northeast
Dixie Cafe - Paragould,Paragould,Greene,Arkansas,25,Northeast
Dixie Cafe - Jonesboro,Jonesboro,Craighead,Arkansas,32,Northeast
Covenant Medical Benefits,Jonesboro,Craighead,Arkansas,10,Northeast
Sears Auto Center,Jonesboro,Craighead,Arkansas,,Northeast
,,,,389,Northeast Total
Walmart (Return Center),Bentonville,Benton,Arkansas,249,Northwest
Walmart (Jewlry Warehouse Center),Bentonville,Benton,Arkansas,236,Northwest
Sears (Fayetteville),Fayetteville,Washington,Arkansas,,Northwest
Dixie Cafe - Harrison,Harrison,Boone,Arkansas,27,Northwest
Charming Charlie_Rogers,Rogers,Benton,Arkansas,,Northwest
"Del Monte Foods, Inc.",Siloam Springs,Benton,Arkansas,238,Northwest
,,,,750,Northwest Total
VSE,New Boston,Bowie,Texas,17,Southwest
Harte Hanks,Texarkana,Bowie,Texas,100,Southwest
Red River Army Depot,Texarkana,Miller,Texas,146,Southwest
El Dorado News-Times,El Dorado,Union,Arkansas,1,Southwest
South Arkansas Youth Services,Magnolia,Columbia,Arkansas,55,Southwest
El Dorado News-Times (Production),El Dorado,Union,Arkansas,17,Southwest
Texarkana Gazette,Texarkana,Miller,Arkansas,15,Southwest
CB&I,El Dorado,Union,Arkansas,192,Southwest
Sears (Texarkana),Texarkana,Bowie,Texas,35,Southwest
Southwest Arkansas Development Council (SWADC),Various,12 Counties,Arkansas,160,Southwest
,,,,738,Southwest Total
Golden Living (2018- 5-17; 6-14; 6-28),Fort Smith,Sebastian,Arkansas,25,West
Tyson Foods,Van Buren,Crawford,Arkansas,150,West
Toys R Us,Fort Smith,Sebastian,Arkansas,25,West
Golden Living (20180302),Fort Smith,Sebastian,Arkansas,29,West
Sears (Fort Smith),Fort Smith,Sebastian,Arkansas,,West
Charming Charlie_Fort Smith,Fort Smith,Sebastian,Arkansas,13,West
Golden Living (20171214 and 20171228),Fort Smith,Sebastian,Arkansas,25,West
Aegis Therapies,Fort Smith,Sebastian,Arkansas,9,West
Golden Living (20171005 and 20171102),Fort Smith,Sebastian,Arkansas,49,West
,,,,325,West Total
ABB (formerly Baldor),Clarksville,Johnson,Arkansas,163,West Central
Sentinel-Record,Hot Springs,Garland,Arkansas,4,West Central
"Aptim Services, LLC",Russellville,Pope,Arkansas,246,West Central
Lake Catherine Footwear,Hot Springs,Garland,Arkansas,36,West Central
Cash Savers,Russellville,Pope,Arkansas,30,West Central
,,,,479,West Central Total
,,,,,
,,,,4029,Grand Total
