,Employer Name,City,County,State,Workers,WIA
0,arkansas promise,statewide,nan,arkansas,85.0,nan
1,cantrell drug company,north little rock,pulaski,arkansas,85.0,central
2,toys r us   ,little rock,pulaski,arkansas,25.0,central
3,dyncorp international,jacksonville,pulaski,arkansas,128.0,central
4,age industries ,conway,faulkner,arkansas,20.0,central
5,kmart   ,cabot,lonoke,arkansas,25.0,central
6,dixie cafe ,north little rock,pulaski,arkansas,30.0,central
7,nan,nan,nan,nan,313.0,central total
8,st. francis area developmental center,forrest city,st francis,arkansas,16.0,eastern
9,j.r. simplot company,west memphis,crittenden,arkansas,85.0,eastern
10,crowley's ridge technical institute,forrest city,st francis,arkansas,39.0,eastern
11,nan,nan,nan,nan,140.0,eastern total
12,bennett's military supplies,little rock,pulaski,arkansas,1.0,little rock
13,toys r us   ,little rock,pulaski,arkansas,18.0,little rock
14,itw global tire repair,little rock,pulaski,arkansas,28.0,little rock
15,babies r us,little rock,pulaski,arkansas,26.0,little rock
16,windstream,little rock,pulaski,arkansas,43.0,little rock
17,uams,little rock,pulaski,arkansas,258.0,little rock
18,charming charlie,little rock,pulaski,arkansas,12.0,little rock
19,dixie cafe ,little rock,pulaski,arkansas,30.0,little rock
20,dixie cafe ,little rock,pulaski,arkansas,30.0,little rock
21,american red cross blood donation center ,little rock,pulaski,arkansas,15.0,little rock
22,soundscapes,little rock,pulaski,arkansas,7.0,little rock
23,arkansas democrat gazette,little rock,pulaski,arkansas,25.0,little rock
24,savers,north little rock,pulaski,arkansas,110.0,little rock
25,northrop grumman systems corporation,little rock,pulaski,arkansas,100.0,little rock
26,walmart neighborhood market,little rock,pulaski,arkansas,107.0,little rock
27,nan,nan,nan,nan,810.0,little rock total
28,walmart,corning,clay,arkansas,66.0,northeast
29,twin rivers regional medical center,kennett,dunklin,missouri,63.0,northeast
30,"regal beloit america, inc.",blytheville,mississippi,arkansas,32.0,northeast
31,arkansas early learning inc.,jonesboro,craighead,arkansas,111.0,northeast
32,food giant,osceola,mississippi,arkansas,50.0,northeast
33,dixie cafe ,paragould,greene,arkansas,25.0,northeast
34,dixie cafe ,jonesboro,craighead,arkansas,32.0,northeast
35,covenant medical benefits,jonesboro,craighead,arkansas,10.0,northeast
36,sears auto center,jonesboro,craighead,arkansas,nan,northeast
37,nan,nan,nan,nan,389.0,northeast total
38,walmart  ,bentonville,benton,arkansas,249.0,northwest
39,walmart  ,bentonville,benton,arkansas,236.0,northwest
40,sears  ,fayetteville,washington,arkansas,nan,northwest
41,dixie cafe ,harrison,boone,arkansas,27.0,northwest
42,charming charlie,rogers,benton,arkansas,nan,northwest
43,"del monte foods, inc.",siloam springs,benton,arkansas,238.0,northwest
44,nan,nan,nan,nan,750.0,northwest total
45,vse,new boston,bowie,texas,17.0,southwest
46,harte hanks,texarkana,bowie,texas,100.0,southwest
47,red river army depot,texarkana,miller,texas,146.0,southwest
48,el dorado news,el dorado,union,arkansas,1.0,southwest
49,south arkansas youth services,magnolia,columbia,arkansas,55.0,southwest
50,el dorado news,el dorado,union,arkansas,17.0,southwest
51,texarkana gazette,texarkana,miller,arkansas,15.0,southwest
52,cb&i,el dorado,union,arkansas,192.0,southwest
53,sears  ,texarkana,bowie,texas,35.0,southwest
54,southwest arkansas development council  ,various,12 counties,arkansas,160.0,southwest
55,nan,nan,nan,nan,738.0,southwest total
56,golden living  ,fort smith,sebastian,arkansas,25.0,west
57,tyson foods,van buren,crawford,arkansas,150.0,west
58,toys r us,fort smith,sebastian,arkansas,25.0,west
59,golden living  ,fort smith,sebastian,arkansas,29.0,west
60,sears  ,fort smith,sebastian,arkansas,nan,west
61,charming charlie,fort smith,sebastian,arkansas,13.0,west
62,golden living  ,fort smith,sebastian,arkansas,25.0,west
63,aegis therapies,fort smith,sebastian,arkansas,9.0,west
64,golden living  ,fort smith,sebastian,arkansas,49.0,west
65,nan,nan,nan,nan,325.0,west total
66,abb  ,clarksville,johnson,arkansas,163.0,west central
67,sentinel,hot springs,garland,arkansas,4.0,west central
68,"aptim services, llc",russellville,pope,arkansas,246.0,west central
69,lake catherine footwear,hot springs,garland,arkansas,36.0,west central
70,cash savers,russellville,pope,arkansas,30.0,west central
71,nan,nan,nan,nan,479.0,west central total
72,nan,nan,nan,nan,nan,nan
73,nan,nan,nan,nan,4029.0,grand total
